day_image,place_id,place_name,flow_step,notes
image001.jpg,P01,lobby,1,Central atrium frontal view.
image002.jpg,P01,lobby,1,Central atrium frontal view.
image003.jpg,P01,lobby,1,Central atrium frontal view.
image004.jpg,P01,lobby,1,Atrium view with side pillar and flags.
image005.jpg,P01,lobby,1,Atrium side view.
image006.jpg,P01,lobby,1,Atrium side view near flags.
image007.jpg,P02,entrance,2,Transition from atrium into red entry zone.
image008.jpg,P02,entrance,2,Red wall and ramp.
image009.jpg,P02,entrance,2,Ramp and exterior edge.
image010.jpg,P02,entrance,2,Front portico and exterior columns.
image011.jpg,P02,entrance,2,Front portico view.
image012.jpg,P02,entrance,2,Glass corner with exterior columns.
image013.jpg,P02,entrance,2,Red wall glass corner.
image014.jpg,P02,entrance,2,Red wall glass corner from inside.
image015.jpg,P02,entrance,2,Interior glass doorway near red wall.
image016.jpg,P02,entrance,2,Interior return from red wall.
image017.jpg,P02,entrance,2,Transition back toward atrium.
image018.jpg,P02,entrance,2,Transition back toward atrium.
image019.jpg,P03,ncafe,3,Glass doorway into adjacent innovation area.
image020.jpg,P03,ncafe,3,Glass doorway into adjacent innovation area.
image021.jpg,P04,booth,4,Booth seating along balcony.
image022.jpg,P04,booth,4,Balcony walkway with booth.
image023.jpg,P04,booth,4,Balcony walkway side view.
image024.jpg,P05,screens,5,Screen wall close view.
image025.jpg,P05,screens,5,Screen wall and railing.
image026.jpg,P05,screens,5,Screen wall and railing.
image027.jpg,P05,screens,5,Screen wall side view.
image028.jpg,P06,reception,6,Red corridor with chairs.
image029.jpg,P06,reception,6,Red corridor lounge area.
image030.jpg,P06,reception,6,Window-side red corridor.
image031.jpg,P06,reception,6,Deeper red corridor view.
image032.jpg,P07,cafeteria,7,Stair and tables area.
image033.jpg,P07,cafeteria,7,Stair and tables area.
image034.jpg,P07,cafeteria,7,Tables and stair side.
image035.jpg,P07,cafeteria,7,Tables and corridor.
image036.jpg,P07,cafeteria,7,Corridor and tables.
image037.jpg,P07,cafeteria,7,Corridor and tables.
image038.jpg,P07,cafeteria,7,Corridor by tables.
image039.jpg,P08,cafbanner,8,Pink banner seating corner.
image040.jpg,P08,cafbanner,8,Pink banner and window corner.
image041.jpg,P09,outdoor,9,Outdoor brick path near shrubs.
image042.jpg,P09,outdoor,9,Outdoor brick path frontal view.
image043.jpg,P09,outdoor,9,Outdoor path side view.
image044.jpg,P09,outdoor,9,Outdoor path side view.
image045.jpg,P09,outdoor,9,Outdoor path toward building edge.
image046.jpg,P09,outdoor,9,Outdoor path toward building edge.
image047.jpg,P09,outdoor,9,Building-side outdoor path.
image048.jpg,P09,outdoor,9,Building-side outdoor path with glass wall.
image049.jpg,P10,hallway,10,Indoor narrow hallway.
image050.jpg,P10,hallway,10,Indoor narrow hallway.
